date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:54	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263ee104e-154%22	https://www.classcentral.com/robots.txt		(from )
00:14:55	664850/664850	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:14:54%20GMT	https://www.classcentral.com/	/home/mosee/Projects/withgpt/www.classcentral.com/index.html	(from )
00:14:55	2206/2206	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/apple-touch-icon.png	/home/mosee/Projects/withgpt/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
00:14:56	975/975	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/favicon-32x32.png	/home/mosee/Projects/withgpt/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
00:14:57	731/731	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/favicon-16x16.png	/home/mosee/Projects/withgpt/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
00:14:58	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263ee1175-2a1%22	https://www.classcentral.com/site.webmanifest	/home/mosee/Projects/withgpt/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
00:15:00	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ee1175-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	/home/mosee/Projects/withgpt/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
00:15:00	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263ee104e-391%22	https://www.classcentral.com/opensearch.xml	/home/mosee/Projects/withgpt/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
00:15:01	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	/home/mosee/Projects/withgpt/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
00:15:02	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	/home/mosee/Projects/withgpt/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
00:15:03	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	/home/mosee/Projects/withgpt/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
00:15:04	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	/home/mosee/Projects/withgpt/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
00:15:05	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	/home/mosee/Projects/withgpt/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
